"respondent_id","started_at","submitted_at","cq_1","cq_2","cq_3","sa_1","sa_2","sa_3","it_1","it_2","it_3"
"R038","2026-06-01T09:34:49Z","2026-06-01T09:38:49Z",3,3,1,2,1,1,1,1,3
"R039","2026-06-01T09:35:26Z","2026-06-01T09:39:26Z",3,4,5,5,4,3,4,3,3
"R040","2026-06-01T09:36:03Z","2026-06-01T09:40:03Z",2,2,4,4,1,3,1,2,1
"R041","2026-06-01T09:36:40Z","2026-06-01T09:40:40Z",5,5,5,2,4,3,5,4,3
"R042","2026-06-01T09:37:17Z","2026-06-01T09:41:17Z",3,5,5,5,5,5,5,3,5
"R043","2026-06-01T09:37:54Z","2026-06-01T09:41:54Z",2,2,1,1,2,3,4,2,2
"R044","2026-06-01T09:38:31Z","2026-06-01T09:42:31Z",5,4,4,4,5,4,3,4,5
"R045","2026-06-01T09:39:08Z","2026-06-01T09:43:08Z",4,5,4,5,5,4,5,5,5
"R046","2026-06-01T09:39:45Z","2026-06-01T09:43:45Z",2,2,2,5,5,5,1,2,2
"R047","2026-06-01T09:40:22Z","2026-06-01T09:44:22Z",1,1,1,2,2,1,3,1,1
"R048","2026-06-01T09:40:59Z","2026-06-01T09:44:59Z",3,2,2,1,1,1,2,3,3
"R049","2026-06-01T09:41:36Z","2026-06-01T09:45:36Z",4,5,3,5,5,5,5,5,5
"R050","2026-06-01T09:42:13Z","2026-06-01T09:46:13Z",2,2,4,5,5,5,5,3,5
"R051","2026-06-01T09:42:50Z","2026-06-01T09:46:50Z",1,1,2,5,3,2,5,4,5
"R052","2026-06-01T09:43:27Z","2026-06-01T09:47:27Z",1,3,3,1,1,1,4,4,1
"R053","2026-06-01T09:44:04Z","2026-06-01T09:48:04Z",4,1,1,1,1,1,3,2,2
"R054","2026-06-01T09:44:41Z","2026-06-01T09:48:41Z",3,3,5,3,2,2,1,2,1
"R055","2026-06-01T09:45:18Z","2026-06-01T09:49:18Z",5,4,5,3,3,4,3,4,5
"R056","2026-06-01T09:45:55Z","2026-06-01T09:49:55Z",5,5,5,1,2,3,4,3,3
"R057","2026-06-01T09:46:32Z","2026-06-01T09:50:32Z",4,5,5,3,5,5,1,1,2
"R058","2026-06-01T09:47:09Z","2026-06-01T09:51:09Z",5,5,5,5,5,5,5,3,4
"R059","2026-06-01T09:47:46Z","2026-06-01T09:51:46Z",3,2,2,2,1,1,3,2,4
"R060","2026-06-01T09:48:23Z","2026-06-01T09:52:23Z",4,5,5,3,2,3,1,3,1
"R061","2026-06-01T09:49:00Z","2026-06-01T09:53:00Z",1,2,2,3,2,3,3,1,4
"R062","2026-06-01T09:49:37Z","2026-06-01T09:53:37Z",2,1,1,1,4,3,1,3,1
"R063","2026-06-01T09:50:14Z","2026-06-01T09:54:14Z",5,5,3,5,5,4,5,5,4
"R064","2026-06-01T09:50:51Z","2026-06-01T09:54:51Z",5,3,3,5,2,5,1,2,1
"R065","2026-06-01T09:51:28Z","2026-06-01T09:55:28Z",2,2,1,2,1,4,2,1,1
"R066","2026-06-01T09:52:05Z","2026-06-01T09:56:05Z",1,1,2,2,2,1,4,4,5
"R067","2026-06-01T09:52:42Z","2026-06-01T09:56:42Z",1,1,2,3,1,1,1,1,1
"R068","2026-06-01T09:53:19Z","2026-06-01T09:57:19Z",4,2,2,1,1,1,4,3,4
"R069","2026-06-01T09:53:56Z","2026-06-01T09:57:56Z",3,3,3,1,2,5,1,4,2
"R070","2026-06-01T09:54:33Z","2026-06-01T09:58:33Z",2,2,1,5,4,4,2,3,3
"R071","2026-06-01T09:55:10Z","2026-06-01T09:59:10Z",2,1,2,1,3,2,5,5,3
"R072","2026-06-01T09:55:47Z","2026-06-01T09:59:47Z",2,2,3,1,2,1,3,2,4
"R073","2026-06-01T09:56:24Z","2026-06-01T10:00:24Z",1,1,1,5,1,3,3,4,4
"R074","2026-06-01T09:57:01Z","2026-06-01T10:01:01Z",2,2,1,1,3,1,1,1,1
"R075","2026-06-01T09:57:38Z","2026-06-01T10:01:38Z",1,1,1,3,5,3,4,2,3
"R076","2026-06-01T09:58:15Z","2026-06-01T10:02:15Z",1,3,4,1,1,2,1,1,1
"R077","2026-06-01T09:58:52Z","2026-06-01T10:02:52Z",5,2,2,1,1,1,2,3,3
"R078","2026-06-01T09:59:29Z","2026-06-01T10:03:29Z",3,5,3,4,4,5,4,4,4
"R079","2026-06-01T10:00:06Z","2026-06-01T10:04:06Z",5,4,5,3,2,3,1,1,2
"R080","2026-06-01T10:00:43Z","2026-06-01T10:04:43Z",5,5,5,5,5,5,3,1,2
"R081","2026-06-01T10:01:20Z","2026-06-01T10:05:20Z",4,4,5,3,4,5,4,4,3
"R082","2026-06-01T10:01:57Z","2026-06-01T10:05:57Z",1,1,1,1,2,1,5,3,2
"R083","2026-06-01T10:02:34Z","2026-06-01T10:06:34Z",5,1,2,2,1,2,1,1,1
"R084","2026-06-01T10:03:11Z","2026-06-01T10:07:11Z",2,2,2,4,4,2,4,3,3
"R085","2026-06-01T10:03:48Z","2026-06-01T10:07:48Z",3,1,1,2,2,2,1,1,1
"R086","2026-06-01T10:04:25Z","2026-06-01T10:08:25Z",4,5,5,3,3,2,5,4,5
"R087","2026-06-01T10:05:02Z","2026-06-01T10:09:02Z",2,2,3,5,2,4,1,3,1
"R088","2026-06-01T10:05:39Z","2026-06-01T10:09:39Z",2,2,1,1,3,2,4,2,4
"R089","2026-06-01T10:06:16Z","2026-06-01T10:10:16Z",4,4,4,5,5,5,2,5,4
"R090","2026-06-01T10:06:53Z","2026-06-01T10:10:53Z",5,4,5,4,5,3,3,2,3
"R091","2026-06-01T10:07:30Z","2026-06-01T10:11:30Z",1,3,1,2,1,2,4,2,4
"R092","2026-06-01T10:08:07Z","2026-06-01T10:12:07Z",3,3,5,3,5,4,3,5,4
"R093","2026-06-01T10:08:44Z","2026-06-01T10:12:44Z",2,2,2,5,5,5,4,2,2
"R094","2026-06-01T10:09:21Z","2026-06-01T10:13:21Z",2,2,2,3,4,4,2,4,3
"R095","2026-06-01T10:09:58Z","2026-06-01T10:13:58Z",1,3,3,3,1,3,3,5,4
"R096","2026-06-01T10:10:35Z","2026-06-01T10:14:35Z",2,5,2,1,1,2,3,2,4
"R097","2026-06-01T10:11:12Z","2026-06-01T10:15:12Z",2,5,3,4,1,1,1,2,4
"R098","2026-06-01T10:11:49Z","2026-06-01T10:15:49Z",4,2,4,4,2,2,4,4,2
"R099","2026-06-01T10:12:26Z","2026-06-01T10:16:26Z",1,4,3,2,1,1,4,4,2
"R100","2026-06-01T10:13:03Z","2026-06-01T10:17:03Z",5,5,5,5,4,5,2,2,1
"R101","2026-06-01T10:13:40Z","2026-06-01T10:17:40Z",3,1,2,3,2,3,3,4,3
"R102","2026-06-01T10:14:17Z","2026-06-01T10:18:17Z",2,3,4,1,4,3,3,2,4
"R103","2026-06-01T10:14:54Z","2026-06-01T10:18:54Z",5,5,3,3,2,2,5,5,5
"R104","2026-06-01T10:15:31Z","2026-06-01T10:19:31Z",2,2,1,1,3,4,1,1,2
"R105","2026-06-01T10:16:08Z","2026-06-01T10:20:08Z",2,3,1,1,3,1,4,2,2
"R106","2026-06-01T10:16:45Z","2026-06-01T10:20:45Z",1,1,2,1,1,1,1,1,2
"R107","2026-06-01T10:17:22Z","2026-06-01T10:21:22Z",3,1,3,1,1,1,2,2,2
"R108","2026-06-01T10:17:59Z","2026-06-01T10:21:59Z",4,3,5,5,4,5,5,4,5
"R109","2026-06-01T10:18:36Z","2026-06-01T10:22:36Z",5,5,5,3,2,4,2,5,5
"R110","2026-06-01T10:19:13Z","2026-06-01T10:23:13Z",4,3,2,3,5,4,3,2,2
"R111","2026-06-01T10:19:50Z","2026-06-01T10:23:50Z",3,2,1,4,5,3,4,5,4
"R112","2026-06-01T10:20:27Z","2026-06-01T10:24:27Z",5,5,5,3,4,5,4,5,5
"R113","2026-06-01T10:21:04Z","2026-06-01T10:25:04Z",2,4,4,3,1,2,5,2,2
"R114","2026-06-01T10:21:41Z","2026-06-01T10:25:41Z",4,3,2,3,3,2,2,3,4
"R115","2026-06-01T10:22:18Z","2026-06-01T10:26:18Z",5,5,5,4,3,5,5,5,5
"R116","2026-06-01T10:22:55Z","2026-06-01T10:26:55Z",4,2,4,2,2,3,2,2,1
"R117","2026-06-01T10:23:32Z","2026-06-01T10:27:32Z",2,2,1,4,2,4,1,5,2
"R118","2026-06-01T10:24:09Z","2026-06-01T10:28:09Z",5,4,5,5,3,4,4,5,4
"R119","2026-06-01T10:24:46Z","2026-06-01T10:28:46Z",5,5,5,3,4,5,5,4,2
"R120","2026-06-01T10:25:23Z","2026-06-01T10:29:23Z",3,4,5,5,4,5,5,5,5
"R121","2026-06-01T10:26:00Z","2026-06-01T10:30:00Z",3,2,4,4,4,5,2,2,2
"R122","2026-06-01T10:26:37Z","2026-06-01T10:30:37Z",2,2,4,3,3,3,5,3,4
"R123","2026-06-01T10:27:14Z","2026-06-01T10:31:14Z",5,5,5,2,1,2,5,4,3
"R124","2026-06-01T10:27:51Z","2026-06-01T10:31:51Z",1,1,1,1,2,2,5,4,4
"R125","2026-06-01T10:28:28Z","2026-06-01T10:32:28Z",3,4,4,2,3,2,5,2,3
"R126","2026-06-01T10:29:05Z","2026-06-01T10:33:05Z",5,5,5,3,5,3,3,2,4
"R127","2026-06-01T10:29:42Z","2026-06-01T10:33:42Z",2,3,4,5,4,1,4,4,4
"R128","2026-06-01T10:30:19Z","2026-06-01T10:34:19Z",1,1,1,1,1,3,2,3,1
"R129","2026-06-01T10:30:56Z","2026-06-01T10:34:56Z",4,3,4,4,4,2,5,3,4
"R130","2026-06-01T10:31:33Z","2026-06-01T10:35:33Z",1,1,1,5,5,4,1,2,3
"R131","2026-06-01T10:32:10Z","2026-06-01T10:36:10Z",4,2,4,2,4,2,2,2,1
"R132","2026-06-01T10:32:47Z","2026-06-01T10:36:47Z",4,4,3,4,2,4,5,5,5
"R133","2026-06-01T10:33:24Z","2026-06-01T10:37:24Z",4,4,5,3,2,1,3,3,2
"R134","2026-06-01T10:34:01Z","2026-06-01T10:38:01Z",2,2,2,1,2,2,2,2,3
"R135","2026-06-01T10:34:38Z","2026-06-01T10:38:38Z",1,3,5,4,5,5,5,5,5
"R136","2026-06-01T10:35:15Z","2026-06-01T10:39:15Z",2,2,2,4,3,4,3,2,4
"R137","2026-06-01T10:35:52Z","2026-06-01T10:39:52Z",5,2,5,5,5,5,5,4,5
"R138","2026-06-01T10:36:29Z","2026-06-01T10:40:29Z",5,5,5,5,5,5,3,5,3
"R139","2026-06-01T10:37:06Z","2026-06-01T10:41:06Z",2,2,3,2,5,1,4,3,2
"R140","2026-06-01T10:37:43Z","2026-06-01T10:41:43Z",5,5,5,3,2,2,5,2,5
"R141","2026-06-01T10:38:20Z","2026-06-01T10:42:20Z",5,5,4,4,4,4,5,4,5
"R142","2026-06-01T10:38:57Z","2026-06-01T10:42:57Z",2,3,3,5,4,2,3,2,4
"R143","2026-06-01T10:39:34Z","2026-06-01T10:43:34Z",3,2,3,3,1,5,4,4,3
"R144","2026-06-01T10:40:11Z","2026-06-01T10:44:11Z",2,4,2,4,4,4,2,1,1
"R145","2026-06-01T10:40:48Z","2026-06-01T10:44:48Z",3,4,2,2,1,3,4,2,2
"R146","2026-06-01T10:41:25Z","2026-06-01T10:45:25Z",1,1,2,5,3,3,3,4,2
"R147","2026-06-01T10:42:02Z","2026-06-01T10:46:02Z",2,2,2,1,2,2,3,3,1
"R148","2026-06-01T10:42:39Z","2026-06-01T10:46:39Z",3,2,3,5,4,4,5,4,4
"R149","2026-06-01T10:43:16Z","2026-06-01T10:47:16Z",2,2,1,3,1,1,4,5,4
"R150","2026-06-01T10:43:53Z","2026-06-01T10:47:53Z",2,2,4,3,2,4,5,3,3
