"respondent_id","started_at","submitted_at","sessions_attended","will_return","satisfaction","preferred_session_type"
"R021","2026-06-01T09:22:20Z","2026-06-01T09:26:20Z",4,"yes",1,"panel"
"R022","2026-06-01T09:22:57Z","2026-06-01T09:26:57Z",8,"yes",3,"workshop"
"R023","2026-06-01T09:23:34Z","2026-06-01T09:27:34Z",7,"yes",2,"keynote"
"R024","2026-06-01T09:24:11Z","2026-06-01T09:28:11Z",7,"yes",5,"keynote"
"R025","2026-06-01T09:24:48Z","2026-06-01T09:28:48Z",8,"yes",3,"keynote"
"R026","2026-06-01T09:25:25Z","2026-06-01T09:29:25Z",4,"no",2,"panel"
"R027","2026-06-01T09:26:02Z","2026-06-01T09:30:02Z",3,"no",3,"keynote"
"R028","2026-06-01T09:26:39Z","2026-06-01T09:30:39Z",9,"yes",4,"workshop"
"R029","2026-06-01T09:27:16Z","2026-06-01T09:31:16Z",8,"yes",5,"keynote"
"R030","2026-06-01T09:27:53Z","2026-06-01T09:31:53Z",5,"no",2,"keynote"
"R031","2026-06-01T09:28:30Z","2026-06-01T09:32:30Z",4,"no",3,"panel"
"R032","2026-06-01T09:29:07Z","2026-06-01T09:33:07Z",8,"yes",3,"workshop"
"R033","2026-06-01T09:29:44Z","2026-06-01T09:33:44Z",3,"no",1,"panel"
"R034","2026-06-01T09:30:21Z","2026-06-01T09:34:21Z",5,"no",2,"keynote"
"R035","2026-06-01T09:30:58Z","2026-06-01T09:34:58Z",5,"no",1,"keynote"
"R036","2026-06-01T09:31:35Z","2026-06-01T09:35:35Z",6,"yes",1,"keynote"
"R037","2026-06-01T09:32:12Z","2026-06-01T09:36:12Z",9,"yes",5,"workshop"
"R038","2026-06-01T09:32:49Z","2026-06-01T09:36:49Z",6,"yes",4,"panel"
"R039","2026-06-01T09:33:26Z","2026-06-01T09:37:26Z",4,"no",2,"keynote"
"R040","2026-06-01T09:34:03Z","2026-06-01T09:38:03Z",6,"yes",4,"keynote"
"R041","2026-06-01T09:34:40Z","2026-06-01T09:38:40Z",4,"yes",2,"keynote"
"R042","2026-06-01T09:35:17Z","2026-06-01T09:39:17Z",5,"no",2,"panel"
"R043","2026-06-01T09:35:54Z","2026-06-01T09:39:54Z",6,"no",4,"keynote"
"R044","2026-06-01T09:36:31Z","2026-06-01T09:40:31Z",3,"no",3,"keynote"
"R045","2026-06-01T09:37:08Z","2026-06-01T09:41:08Z",10,"yes",5,"workshop"
"R046","2026-06-01T09:37:45Z","2026-06-01T09:41:45Z",3,"no",1,"keynote"
"R047","2026-06-01T09:38:22Z","2026-06-01T09:42:22Z",6,"no",2,"keynote"
"R048","2026-06-01T09:38:59Z","2026-06-01T09:42:59Z",5,"no",4,"keynote"
"R049","2026-06-01T09:39:36Z","2026-06-01T09:43:36Z",6,"no",2,"panel"
"R050","2026-06-01T09:40:13Z","2026-06-01T09:44:13Z",4,"no",1,"panel"
"R051","2026-06-01T09:40:50Z","2026-06-01T09:44:50Z",5,"no",3,"keynote"
"R052","2026-06-01T09:41:27Z","2026-06-01T09:45:27Z",3,"no",2,"keynote"
"R053","2026-06-01T09:42:04Z","2026-06-01T09:46:04Z",10,"yes",5,"workshop"
"R054","2026-06-01T09:42:41Z","2026-06-01T09:46:41Z",5,"no",4,"panel"
"R055","2026-06-01T09:43:18Z","2026-06-01T09:47:18Z",5,"no",1,"keynote"
"R056","2026-06-01T09:43:55Z","2026-06-01T09:47:55Z",11,"no",5,"keynote"
"R057","2026-06-01T09:44:32Z","2026-06-01T09:48:32Z",4,"no",1,"keynote"
"R058","2026-06-01T09:45:09Z","2026-06-01T09:49:09Z",7,"yes",3,"keynote"
"R059","2026-06-01T09:45:46Z","2026-06-01T09:49:46Z",8,"yes",3,"workshop"
"R060","2026-06-01T09:46:23Z","2026-06-01T09:50:23Z",2,"no",1,"panel"
"R061","2026-06-01T09:47:00Z","2026-06-01T09:51:00Z",4,"yes",1,"panel"
"R062","2026-06-01T09:47:37Z","2026-06-01T09:51:37Z",11,"yes",5,"workshop"
"R063","2026-06-01T09:48:14Z","2026-06-01T09:52:14Z",11,"yes",4,"workshop"
"R064","2026-06-01T09:48:51Z","2026-06-01T09:52:51Z",9,"yes",4,"keynote"
"R065","2026-06-01T09:49:28Z","2026-06-01T09:53:28Z",7,"yes",4,"keynote"
"R066","2026-06-01T09:50:05Z","2026-06-01T09:54:05Z",9,"yes",5,"keynote"
"R067","2026-06-01T09:50:42Z","2026-06-01T09:54:42Z",7,"yes",2,"panel"
"R068","2026-06-01T09:51:19Z","2026-06-01T09:55:19Z",7,"no",5,"keynote"
"R069","2026-06-01T09:51:56Z","2026-06-01T09:55:56Z",4,"yes",3,"keynote"
"R070","2026-06-01T09:52:33Z","2026-06-01T09:56:33Z",8,"yes",4,"workshop"
"R071","2026-06-01T09:53:10Z","2026-06-01T09:57:10Z",5,"no",2,"keynote"
"R072","2026-06-01T09:53:47Z","2026-06-01T09:57:47Z",3,"no",1,"keynote"
"R073","2026-06-01T09:54:24Z","2026-06-01T09:58:24Z",7,"yes",2,"keynote"
"R074","2026-06-01T09:55:01Z","2026-06-01T09:59:01Z",8,"no",3,"workshop"
"R075","2026-06-01T09:55:38Z","2026-06-01T09:59:38Z",6,"no",5,"panel"
"R076","2026-06-01T09:56:15Z","2026-06-01T10:00:15Z",11,"yes",5,"workshop"
"R077","2026-06-01T09:56:52Z","2026-06-01T10:00:52Z",3,"no",1,"keynote"
"R078","2026-06-01T09:57:29Z","2026-06-01T10:01:29Z",9,"yes",4,"keynote"
"R079","2026-06-01T09:58:06Z","2026-06-01T10:02:06Z",5,"no",3,"keynote"
"R080","2026-06-01T09:58:43Z","2026-06-01T10:02:43Z",4,"no",1,"keynote"
