"respondent_id","started_at","submitted_at","attendee_role","format","age","sessions_attended"
"R054","2026-06-01T09:38:41Z","2026-06-01T09:42:41Z","academic","online",51,6
"R055","2026-06-01T09:39:18Z","2026-06-01T09:43:18Z","student","in_person",60,5
"R056","2026-06-01T09:39:55Z","2026-06-01T09:43:55Z","practitioner","in_person",58,8
"R057","2026-06-01T09:40:32Z","2026-06-01T09:44:32Z","academic","in_person",38,2
"R058","2026-06-01T09:41:09Z","2026-06-01T09:45:09Z","student","in_person",24,7
"R059","2026-06-01T09:41:46Z","2026-06-01T09:45:46Z","practitioner","online",23,9
"R060","2026-06-01T09:42:23Z","2026-06-01T09:46:23Z","academic","in_person",62,8
"R061","2026-06-01T09:43:00Z","2026-06-01T09:47:00Z","student","online",46,7
"R062","2026-06-01T09:43:37Z","2026-06-01T09:47:37Z","practitioner","in_person",33,7
"R063","2026-06-01T09:44:14Z","2026-06-01T09:48:14Z","academic","online",47,4
"R064","2026-06-01T09:44:51Z","2026-06-01T09:48:51Z","student","in_person",38,7
"R065","2026-06-01T09:45:28Z","2026-06-01T09:49:28Z","practitioner","in_person",41,6
"R066","2026-06-01T09:46:05Z","2026-06-01T09:50:05Z","academic","in_person",50,7
"R067","2026-06-01T09:46:42Z","2026-06-01T09:50:42Z","student","in_person",36,5
"R068","2026-06-01T09:47:19Z","2026-06-01T09:51:19Z","practitioner","in_person",51,8
"R069","2026-06-01T09:47:56Z","2026-06-01T09:51:56Z","academic","in_person",52,7
"R070","2026-06-01T09:48:33Z","2026-06-01T09:52:33Z","student","in_person",47,7
"R071","2026-06-01T09:49:10Z","2026-06-01T09:53:10Z","practitioner","in_person",34,5
"R072","2026-06-01T09:49:47Z","2026-06-01T09:53:47Z","academic","in_person",40,7
"R073","2026-06-01T09:50:24Z","2026-06-01T09:54:24Z","student","online",42,6
"R074","2026-06-01T09:51:01Z","2026-06-01T09:55:01Z","practitioner","online",37,8
"R075","2026-06-01T09:51:38Z","2026-06-01T09:55:38Z","academic","in_person",38,7
