"respondent_id","started_at","submitted_at","sessions_chosen__keynote","sessions_chosen__workshop","sessions_chosen__panel","sessions_chosen__poster","sessions_chosen__social","rank_priorities__content","rank_priorities__networking","rank_priorities__location"
"R024","2026-06-01T09:31:11Z","2026-06-01T09:35:11Z",1,0,0,1,1,1,2,3
"R025","2026-06-01T09:31:48Z","2026-06-01T09:35:48Z",0,0,0,0,1,1,2,3
"R026","2026-06-01T09:32:25Z","2026-06-01T09:36:25Z",1,1,0,0,0,1,2,3
"R027","2026-06-01T09:33:02Z","2026-06-01T09:37:02Z",1,1,0,0,0,1,2,3
"R028","2026-06-01T09:33:39Z","2026-06-01T09:37:39Z",0,0,0,0,1,1,2,3
"R029","2026-06-01T09:34:16Z","2026-06-01T09:38:16Z",1,1,0,0,0,2,1,3
"R030","2026-06-01T09:34:53Z","2026-06-01T09:38:53Z",1,1,0,0,0,1,2,3
"R031","2026-06-01T09:35:30Z","2026-06-01T09:39:30Z",1,0,0,0,1,1,2,3
"R032","2026-06-01T09:36:07Z","2026-06-01T09:40:07Z",0,1,1,0,0,1,2,3
"R033","2026-06-01T09:36:44Z","2026-06-01T09:40:44Z",1,0,0,0,1,1,2,3
"R034","2026-06-01T09:37:21Z","2026-06-01T09:41:21Z",1,1,0,0,1,1,2,3
"R035","2026-06-01T09:37:58Z","2026-06-01T09:41:58Z",0,0,0,0,0,1,2,3
"R036","2026-06-01T09:38:35Z","2026-06-01T09:42:35Z",1,0,0,0,0,1,2,3
"R037","2026-06-01T09:39:12Z","2026-06-01T09:43:12Z",1,1,1,1,1,1,2,3
"R038","2026-06-01T09:39:49Z","2026-06-01T09:43:49Z",1,0,1,0,1,1,2,3
"R039","2026-06-01T09:40:26Z","2026-06-01T09:44:26Z",1,0,1,0,0,1,2,3
"R040","2026-06-01T09:41:03Z","2026-06-01T09:45:03Z",1,1,1,0,0,1,2,3
"R041","2026-06-01T09:41:40Z","2026-06-01T09:45:40Z",1,1,0,0,0,1,2,3
"R042","2026-06-01T09:42:17Z","2026-06-01T09:46:17Z",1,1,0,0,0,1,2,3
"R043","2026-06-01T09:42:54Z","2026-06-01T09:46:54Z",0,1,0,0,1,1,3,2
"R044","2026-06-01T09:43:31Z","2026-06-01T09:47:31Z",1,0,0,0,1,1,2,3
"R045","2026-06-01T09:44:08Z","2026-06-01T09:48:08Z",1,0,1,0,0,1,2,3
"R046","2026-06-01T09:44:45Z","2026-06-01T09:48:45Z",1,0,0,1,0,3,2,1
"R047","2026-06-01T09:45:22Z","2026-06-01T09:49:22Z",1,1,1,0,1,1,2,3
"R048","2026-06-01T09:45:59Z","2026-06-01T09:49:59Z",1,1,0,0,0,1,3,2
"R049","2026-06-01T09:46:36Z","2026-06-01T09:50:36Z",1,1,0,0,0,1,2,3
"R050","2026-06-01T09:47:13Z","2026-06-01T09:51:13Z",0,1,1,0,1,1,2,3
"R051","2026-06-01T09:47:50Z","2026-06-01T09:51:50Z",0,0,1,0,0,1,2,3
"R052","2026-06-01T09:48:27Z","2026-06-01T09:52:27Z",1,0,0,0,0,3,1,2
"R053","2026-06-01T09:49:04Z","2026-06-01T09:53:04Z",1,0,1,1,1,1,2,3
"R054","2026-06-01T09:49:41Z","2026-06-01T09:53:41Z",1,0,0,1,1,1,3,2
"R055","2026-06-01T09:50:18Z","2026-06-01T09:54:18Z",0,1,1,0,0,1,2,3
"R056","2026-06-01T09:50:55Z","2026-06-01T09:54:55Z",1,1,1,0,0,1,2,3
"R057","2026-06-01T09:51:32Z","2026-06-01T09:55:32Z",0,0,1,1,0,3,2,1
"R058","2026-06-01T09:52:09Z","2026-06-01T09:56:09Z",1,1,1,0,1,1,3,2
"R059","2026-06-01T09:52:46Z","2026-06-01T09:56:46Z",1,1,0,1,0,1,2,3
"R060","2026-06-01T09:53:23Z","2026-06-01T09:57:23Z",1,1,0,1,1,2,1,3
